	Density	Loading C	Loading Ion	Loading Pt	Mass atten.	Thickness	calc. GSV
238	0.6666666666666666	0.609	0.158	0.233	4.991619327200784	15	15146.59368988891
239	0.6666666666666666	0.636	0.147	0.217	4.660783013559964	15	14920.014926553435
240	0.6666666666666666	0.016	0.333	0.651	13.69386645128214	15	21106.472670268093
241	0.6673333333333334	0.151	0.288	0.562	11.820672232832102	15	19831.679974248807
242	0.6666666666666666	0.253	0.253	0.494	10.405399879812276	15	18854.311531020765
243	0.6666666666666666	0.333	0.226	0.441	9.31363114645395	15	18106.59551783476
244	0.6666666666666666	0.398	0.204	0.398	8.421269446963912	15	17495.44673524402
245	0.6666666666666666	0.451	0.186	0.363	7.6990318851106885	15	17000.81030371614
246	0.6666666666666666	0.496	0.171	0.333	7.0853176405344485	15	16580.497874747358
247	0.6666666666666666	0.534	0.158	0.308	6.564942510106738	15	16224.1102937551
248	0.6666666666666666	0.566	0.147	0.287	6.124491682153877	15	15922.460203384451
249	0.6666666666666666	0.595	0.137	0.268	5.72469960569952	15	15648.65593662341
250	0.6673333333333332	0.014	0.288	0.699	14.702448272753145	15	21807.285957139935
251	0.6666666666666666	0.133	0.253	0.614	12.934833783962024	15	20586.636497509455
252	0.6666666666666666	0.226	0.226	0.548	11.552293610519133	15	19639.78081739087
253	0.6666666666666666	0.301	0.204	0.495	10.456773593815349	15	18889.49567528434
254	0.6666666666666666	0.363	0.186	0.451	9.541916749614924	15	18262.940717919606
255	0.6673333333333332	0.415	0.171	0.415	8.777466735305143	15	17745.405779170767
256	0.6666666666666666	0.459	0.158	0.383	8.129143421004844	15	17295.379357598853
257	0.6673333333333332	0.497	0.147	0.357	7.58032234029098	15	16924.7016035474
258	0.666	0.529	0.137	0.333	7.088994916905687	15	16578.161302439385
259	0.6666666666666666	0.558	0.129	0.313	6.677681359203568	15	16301.321373539882
260	0.6666666666666666	0.012	0.253	0.735	15.464565316707855	15	22319.165299902652
261	0.6666666666666666	0.118	0.226	0.656	13.80639059244671	15	21183.536703747002
262	0.6666666666666666	0.204	0.204	0.592	12.473962633442795	15	20271.00120889052
263	0.6666666666666666	0.274	0.186	0.54	11.395243148549827	15	19532.22219100349
264	0.6666666666666666	0.333	0.171	0.496	10.491368218901744	15	18913.18838085184
265	0.6666666666666666	0.383	0.158	0.459	9.711919753860883	15	18379.370108760857
266	0.6673333333333332	0.427	0.147	0.427	9.03309228264984	15	17920.650265112097
267	0.6666666666666666	0.464	0.137	0.399	8.453395041538123	15	17517.448484114742
268	0.6666666666666666	0.497	0.129	0.374	7.960097287726924	15	17179.60529578791
269	0.6666666666666666	0.526	0.121	0.353	7.490139125007339	15	16857.746615413358
270	0.6666666666666666	0.011	0.226	0.763	16.06072895188064	15	22727.45790151132
271	0.6666666666666666	0.107	0.204	0.689	14.506782693112058	15	21663.211907089346
